"batch_size","best_epoch","bidirectional","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"512","10","True","0.46","0.17","32","500","128","[64, 512, 256]","0.0005149999999999999","0.5472972393035889","0.7339451909065247","0.13938060402870178","0.8567060232162476"
"64","18","True","0.26","0.18","32","500","128","[32, 128, 256, 64]","0.0009549999999999999","0.5289857387542725","0.7526246905326843","0.09058614820241928","0.8675394654273987"
"128","9","True","0.33","0.16","512","500","32","[512, 256, 32]","0.0008939999999999999","0.5204300880432129","0.731903076171875","0.15491512417793274","0.855513334274292"
"128","9","True","0.28","0.08","256","500","128","[32, 512, 64]","0.000396","0.523588240146637","0.7315223813056946","0.1797867715358734","0.8552908301353455"
"64","15","False","0.18","0.48","512","500","64","[32, 512, 64]","0.000909","0.5241199135780334","0.7327576279640198","0.13447964191436768","0.8560126423835754"
"512","15","False","0.25","0.36","32","500","64","[128, 32]","0.0009639999999999999","0.5536911487579346","0.7397029399871826","0.14820098876953125","0.8600598573684692"
"32","14","False","0.06","0.12","128","500","256","[32, 64, 256]","0.00052","0.5257469415664673","0.7358176708221436","0.11183125525712967","0.857798159122467"
"32","23","False","0.26","0.46","512","500","32","[32, 64]","0.000111","0.5073609352111816","0.7467093467712402","0.14557750523090363","0.8641234636306763"
"256","25","False","0.47000000000000003","0.12","256","500","512","[512, 32, 256]","0.000452","0.5082442164421082","0.7402603626251221","0.11674976348876953","0.8603838682174683"
"256","14","True","0.4","0.04","128","500","512","[64, 32]","0.00046699999999999997","0.5233995318412781","0.7465788722038269","0.07971172779798508","0.8640479445457458"
"256","7","True","0.16","0.3","64","500","128","[32, 64, 128]","0.000323","0.552326500415802","0.7335045337677002","0.15736384689807892","0.856448769569397"
"512","11","True","0.4","0.07","32","500","32","[128, 512, 32, 64]","0.0007559999999999999","0.5161224603652954","0.7304306626319885","0.15571632981300354","0.8546523451805115"
"64","19","True","0.39","0.31","64","500","64","[32]","5.3e-05","0.528668999671936","0.7297206521034241","0.1401612013578415","0.854236900806427"
"256","4","False","0.27","0.27","512","500","512","[256]","0.000739","0.5166535377502441","0.733218252658844","0.15743178129196167","0.8562816381454468"
"512","7","False","0.16","0.05","256","500","128","[32]","0.000276","0.5247483849525452","0.7278931736946106","0.1623733937740326","0.8531665802001953"
"256","13","True","0.29","0.32","32","500","32","[32]","0.000326","0.5277664661407471","0.7302187085151672","0.1481870412826538","0.8545283675193787"
"256","11","False","0.28","0.39","512","500","128","[512, 64, 128]","0.00017999999999999998","0.511042594909668","0.7363593578338623","0.15093068778514862","0.8581138253211975"
"256","7","False","0.19","0.39","256","500","64","[256, 512, 32, 64]","0.00035999999999999997","0.5328080058097839","0.7318919897079468","0.1502027064561844","0.8555068373680115"
"256","7","True","0.35000000000000003","0.49","256","500","256","[256, 64]","0.00017999999999999998","0.5430169105529785","0.726891040802002","0.17363667488098145","0.8525790572166443"
"256","6","False","0.39","0.04","64","500","64","[64]","0.000615","0.5324558615684509","0.733457624912262","0.15046121180057526","0.8564214110374451"
"32","3","True","0.07","0.12","64","500","64","[128, 256, 32]","0.000439","0.5169394612312317","0.7319614291191101","0.13090865314006805","0.8555474281311035"
"128","10","False","0.27","0.4","128","500","512","[512, 64, 32, 256]","0.000878","0.5330607295036316","0.7407048940658569","0.14276725053787231","0.86064213514328"
"512","4","True","0.08","0.46","256","500","64","[256, 32, 512]","0.000563","0.5052845478057861","0.7358511686325073","0.15857195854187012","0.8578176498413086"
"128","4","True","0.22","0.25","64","500","128","[32, 512]","0.000785","0.5093375444412231","0.7332521080970764","0.16215106844902039","0.8563014268875122"
"64","8","True","0.38","0.3","128","500","64","[32, 256, 128, 64]","0.00020999999999999998","0.5193749666213989","0.7331870794296265","0.15158213675022125","0.8562634587287903"
"32","9","True","0.01","0.11","64","500","512","[128, 64, 32, 256]","0.000603","0.5162479281425476","0.7252823114395142","0.1383419781923294","0.8516350984573364"
"128","13","False","0.43","0.08","256","500","128","[32, 128, 256]","0.000483","0.5224253535270691","0.7464527487754822","0.05021875351667404","0.8639749884605408"
"512","20","True","0.33","0.41000000000000003","128","500","128","[64, 256]","0.00010499999999999999","0.519414484500885","0.7305546998977661","0.14513584971427917","0.8547249436378479"
