"batch_size","best_epoch","dropout","dropout_lstm","english_lstm","epochs","german_lstm","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"256","21","0.18","0.22","512","250","64","[512, 64, 256]","0.000386","0.5204482674598694","0.7242428660392761","0.13630153238773346","0.8510245680809021"
"64","6","0.35000000000000003","0.2","128","250","128","[128, 256, 64]","0.000592","0.5396073460578918","0.7486454844474792","0.13924457132816315","0.8652430176734924"
"256","21","0.41000000000000003","0.33","64","250","512","[1024, 256]","0.000882","0.5109014511108398","0.7388718724250793","0.041028618812561035","0.8595765829086304"
"64","6","0.3","0.1","64","250","512","[256]","0.00048499999999999997","0.5446938276290894","0.7485998868942261","0.1528361290693283","0.8652166724205017"
"128","19","0.14","0.12","512","250","128","[128, 64, 1024, 512]","0.000445","0.5302103161811829","0.785668671131134","0.10660140961408615","0.8863795399665833"
"32","4","0.36","0.01","32","250","128","[512]","0.0005","0.5421329140663147","0.7348495125770569","0.14421026408672333","0.8572336435317993"
"128","11","0.12","0.31","512","250","256","[1024, 64, 256, 512]","0.000801","0.5308719873428345","0.7935773730278015","-0.01969357393682003","0.8908296227455139"
"128","20","0.04","0.14","512","250","64","[64]","0.000383","0.5606188774108887","0.7945838570594788","0.07532510906457901","0.891394317150116"
"64","4","0.41000000000000003","0.44","128","250","256","[1024, 256]","0.000285","0.5380115509033203","0.7494989037513733","0.14439710974693298","0.8657360672950745"
"64","3","0.37","0.21","512","250","512","[128, 512, 256]","0.000886","0.5362294316291809","0.7619361281394958","0.06573917716741562","0.872889518737793"
"128","7","0.23","0.09","32","250","128","[512]","0.000928","0.5607507824897766","0.7848479151725769","0.10355810075998306","0.8859164118766785"
"64","5","0.45","0.49","64","250","32","[256, 512]","0.000601","0.5638454556465149","0.7614086270332336","0.12634043395519257","0.8725873231887817"
"256","13","0.2","0.2","256","250","32","[1024, 64, 512, 128]","0.000512","0.544651448726654","0.742424488067627","0.0341201052069664","0.8616405725479126"
