"batch_size","best_epoch","dropout","epochs","layers","learning_rate","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"64","4","0.37","250","[1024, 128]","0.000837","0.5034465789794922","0.7334758639335632","0.16505888104438782","0.8564320802688599"
"32","4","0.14","250","[512, 128]","0.000516","0.5212903022766113","0.7300525903701782","0.13721774518489838","0.85443115234375"
"64","6","0.34","250","[64]","0.000372","0.5230199098587036","0.7320471405982971","0.13795232772827148","0.8555975556373596"
"512","30","0.01","250","[64]","0.00038899999999999997","0.5221239328384399","0.7321690320968628","0.142658069729805","0.8556687831878662"
"512","21","0.11","250","[512, 128]","0.000129","0.5239700675010681","0.7248237729072571","0.16964596509933472","0.8513658046722412"
"64","4","0.02","250","[256, 512]","0.0007","0.5244107246398926","0.7321035265922546","0.14727264642715454","0.8556304574012756"
"128","8","0.48","250","[1024, 256, 128]","0.000816","0.5350861549377441","0.729894757270813","0.18845343589782715","0.8543387651443481"
"256","6","0.35000000000000003","250","[256, 512]","0.000878","0.5292096138000488","0.7332084774971008","0.14744159579277039","0.8562759160995483"
"128","2","0.22","250","[1024, 512]","0.00039","0.5299475789070129","0.7293846607208252","0.159947007894516","0.8540402054786682"
"32","7","0.4","250","[128]","0.000303","0.5457548499107361","0.7310422658920288","0.1483565866947174","0.8550100922584534"
"512","6","0.16","250","[1024, 128, 512, 64]","0.0007549999999999999","0.507345974445343","0.7380800843238831","0.1621033251285553","0.8591158986091614"
"128","4","0.18","250","[512, 128, 1024]","0.000542","0.515127420425415","0.7291668653488159","0.16545386612415314","0.8539126515388489"
"256","7","0.29","250","[512]","0.000424","0.5538557767868042","0.7311385869979858","0.16263198852539062","0.8550664186477661"
"64","4","0.24","250","[1024, 128]","0.000292","0.5142737627029419","0.7293168902397156","0.15747100114822388","0.8540005087852478"
"512","90","0.08","250","[64]","0.000111","0.5269760489463806","0.7326943278312683","0.13783776760101318","0.8559756875038147"
"512","22","0.02","250","[256]","0.00027499999999999996","0.5224920511245728","0.7244881391525269","0.17036160826683044","0.851168692111969"
"512","8","0.42","250","[1024, 64]","0.000566","0.5103212594985962","0.7299088835716248","0.16717234253883362","0.8543470501899719"
"256","26","0.2","250","[128, 256]","0.00011899999999999999","0.52728670835495","0.7257752418518066","0.16503553092479706","0.8519244194030762"
"32","38","0.08","250","[256, 512]","1.4e-05","0.5256267786026001","0.7244666814804077","0.1639440357685089","0.8511560559272766"
