"best_epoch","dropout_rate","fc_layers","filter_counts","filter_sizes","learning_rate","pooling_type","stride","val_mae","val_mean_squared_error","val_pearsonr","val_rmse"
"56","0.436934146643937","[93, 99, 84]","[3, 2, 3, 4, 4, 4]","[4, 5, 3, 6, 12, 7]","0.0003012487370683402","max","1","0.626065194606781","1.0234718322753906","0.10140121728181839","1.0116678476333618"
"12","0.44151753028126145","[50, 48]","[2, 1, 1, 3, 2]","[13, 8, 4, 3, 6]","0.0004129780850919373","avg","2","0.6779734492301941","1.0228112936019897","0.15040794014930725","1.0113413333892822"
"11","0.14469375077848845","[65]","[2, 4, 1, 4]","[14, 7, 3, 4]","0.000231292586672654","avg","1","0.6206698417663574","0.77835613489151","0.1656285524368286","0.8822449445724487"
"29","0.40545063503268064","[37, 15, 81]","[3, 1, 3, 3]","[7, 4, 12, 2]","0.0014572458618427714","avg","1","0.6935015916824341","1.093757152557373","0.09456359595060349","1.0458284616470337"
"8","0.24379705580903793","[41]","[4, 2, 3, 4, 4]","[6, 4, 13, 5, 2]","0.0019419936377728074","avg","1","0.9648683071136475","1.5124320983886719","0.13611921668052673","1.2298097610473633"
"34","0.481466231210232","[75]","[4, 3, 3, 2, 2, 3]","[6, 3, 12, 4, 10, 13]","0.0008006818972222214","avg","2","0.5273568630218506","0.7311449646949768","0.16219210624694824","0.855070173740387"
"8","0.08185418430891533","[43]","[1, 3, 2, 3, 3]","[7, 9, 8, 13, 6]","0.00022397291889407847","max","2","0.8433811664581299","1.234389305114746","0.06875475496053696","1.1110306978225708"
"16","0.4855050459570579","[18, 91]","[1, 3, 4, 4, 1]","[4, 7, 5, 11, 6]","0.0013828822136382275","max","1","0.8158919811248779","1.6590596437454224","0.11215218901634216","1.2880449295043945"
"12","0.40768480989057726","[52]","[3, 4, 4, 2, 3, 2]","[4, 14, 11, 2, 5, 7]","0.0004932613731165144","max","1","0.9083250164985657","1.4837208986282349","0.1366046816110611","1.2180808782577515"
"10","0.013396653561824234","[17]","[3, 4, 3]","[11, 8, 13]","0.0021478994015259566","avg","1","0.5171526074409485","0.7541225552558899","0.03699693828821182","0.8684023022651672"
"8","0.10470833789786294","[61]","[2, 1, 4, 3, 2]","[3, 8, 14, 9, 13]","0.00021825429039715617","avg","2","0.512391984462738","0.7606016993522644","0.11573415994644165","0.8721247911453247"
"14","0.17658491984425573","[30, 79, 64]","[3, 4, 4, 4, 2, 1]","[9, 4, 11, 14, 3, 13]","0.00019564339216154796","avg","2","0.5225681066513062","0.8039746284484863","0.15361033380031586","0.8966463208198547"
"8","0.04485969320043376","[35, 47]","[4, 1, 1, 3, 1, 3]","[4, 10, 13, 8, 7, 2]","0.0003348857145858051","avg","1","0.5168225169181824","0.7338531613349915","0.13232220709323883","0.8566523194313049"
"14","0.22335683762856234","[91, 75, 93]","[4, 3, 4]","[2, 5, 12]","0.0017569500876842468","avg","2","1.246192455291748","5.9689249992370605","0.06646144390106201","2.443138360977173"
"23","0.43285841602078506","[33, 52]","[1, 4, 3, 3]","[10, 14, 13, 3]","0.0009247071783090611","avg","1","0.6949923038482666","1.0418879985809326","0.13474538922309875","1.0207291841506958"
"8","0.19118332298976876","[27, 93]","[2, 1, 4]","[5, 14, 6]","0.0028393754276216424","max","1","0.7308324575424194","1.5951483249664307","0.04385634884238243","1.2629917860031128"
"11","0.16454368114498008","[58]","[2, 2, 2, 4, 4]","[8, 4, 7, 9, 11]","0.00010344209196130516","max","1","1.2608249187469482","2.4925782680511475","0.10988879203796387","1.5787900686264038"
"8","0.01135649333247113","[32]","[2, 4, 4, 4]","[11, 7, 12, 14]","0.00017106545417766594","max","2","0.6141571402549744","0.9610050320625305","0.11354641616344452","0.9803086519241333"
"11","0.36070586553338263","[89]","[4, 1, 1]","[5, 8, 3]","0.0003561966167671892","avg","1","0.714438796043396","0.8951262831687927","0.1676982045173645","0.9461111426353455"
"23","0.32988956169477257","[53, 81, 85]","[3, 1, 4]","[11, 6, 9]","0.00015684991227399463","avg","2","0.6318666338920593","0.8016364574432373","0.1183568686246872","0.8953415155410767"
"8","0.19064355760081397","[82]","[3, 2, 4, 4, 2]","[6, 4, 5, 2, 10]","0.0004200858682199719","avg","1","0.5536883473396301","0.7585294842720032","0.14929845929145813","0.8709359765052795"
